Iter  GoF  Param1  Param2  Param3  Param4  Param5  Param6  Param7  Param8  Param9  Param10  
1   2.0638909E+01   2.8188502E+01   2.2128428E+01  -1.0289503E+01  -1.4494585E+01   1.1421197E+01  -2.8651005E+01   2.9654244E+01  -5.6326151E+00   1.3813823E+00   1.6925419E+01  
2   2.0394094E+01   2.7678495E+01  -1.8315057E+01  -1.2942830E+00   1.4327351E+01   2.1812486E+01  -2.8735250E+01  -7.5466033E+00   1.3257057E+01   2.1517653E+01   6.0276380E-01  
3   2.0394094E+01   2.7678495E+01  -1.8315057E+01  -1.2942830E+00   1.4327351E+01   2.1812486E+01  -2.8735250E+01  -7.5466033E+00   1.3257057E+01   2.1517653E+01   6.0276380E-01  
4   2.0394094E+01   2.7678495E+01  -1.8315057E+01  -1.2942830E+00   1.4327351E+01   2.1812486E+01  -2.8735250E+01  -7.5466033E+00   1.3257057E+01   2.1517653E+01   6.0276380E-01  
5   2.0394094E+01   2.7678495E+01  -1.8315057E+01  -1.2942830E+00   1.4327351E+01   2.1812486E+01  -2.8735250E+01  -7.5466033E+00   1.3257057E+01   2.1517653E+01   6.0276380E-01  
6   2.0394094E+01   2.7678495E+01  -1.8315057E+01  -1.2942830E+00   1.4327351E+01   2.1812486E+01  -2.8735250E+01  -7.5466033E+00   1.3257057E+01   2.1517653E+01   6.0276380E-01  
7   1.9961408E+01   2.4685172E+01  -8.1814156E+00  -2.7443453E+00   2.2772335E+00   1.9762517E+01  -1.6491050E+01  -4.9969300E+00   1.5743601E+01   7.9299762E+00  -2.4917114E+00  
8   1.9961408E+01   2.4685172E+01  -8.1814156E+00  -2.7443453E+00   2.2772335E+00   1.9762517E+01  -1.6491050E+01  -4.9969300E+00   1.5743601E+01   7.9299762E+00  -2.4917114E+00  
9   1.9769415E+01   2.5206659E+01  -6.6671860E+00  -5.6885284E+00   2.5043869E+00   1.4873441E+01  -1.3912382E+01   5.4892692E+00   8.7974431E+00   8.5460174E+00   4.8833622E+00  
10   1.9769415E+01   2.5206659E+01  -6.6671860E+00  -5.6885284E+00   2.5043869E+00   1.4873441E+01  -1.3912382E+01   5.4892692E+00   8.7974431E+00   8.5460174E+00   4.8833622E+00  
11   1.9662380E+01   2.5861632E+01  -6.1069286E+00  -6.3397984E+00   2.6859742E+00   1.3153042E+01  -1.3501130E+01   9.2212350E+00   6.9809897E+00   9.3088237E+00   8.2972689E+00  
12   1.9662380E+01   2.5861632E+01  -6.1069286E+00  -6.3397984E+00   2.6859742E+00   1.3153042E+01  -1.3501130E+01   9.2212350E+00   6.9809897E+00   9.3088237E+00   8.2972689E+00  
13   1.9662380E+01   2.5861632E+01  -6.1069286E+00  -6.3397984E+00   2.6859742E+00   1.3153042E+01  -1.3501130E+01   9.2212350E+00   6.9809897E+00   9.3088237E+00   8.2972689E+00  
14   1.9662380E+01   2.5861632E+01  -6.1069286E+00  -6.3397984E+00   2.6859742E+00   1.3153042E+01  -1.3501130E+01   9.2212350E+00   6.9809897E+00   9.3088237E+00   8.2972689E+00  
15   1.9662380E+01   2.5861632E+01  -6.1069286E+00  -6.3397984E+00   2.6859742E+00   1.3153042E+01  -1.3501130E+01   9.2212350E+00   6.9809897E+00   9.3088237E+00   8.2972689E+00  
16   1.9462747E+01   2.5781177E+01  -6.1174336E+00  -6.3285253E+00   2.7857815E+00   1.2729315E+01  -1.3463628E+01   9.0613341E+00   6.6713610E+00   9.4012517E+00   8.5169291E+00  
17   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
18   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
