Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  
1   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01   2.0638909E+01  
2   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01  
3   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01  
4   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01  
5   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01  
6   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01   2.0394094E+01  
7   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01  
8   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01   1.9961408E+01  
9   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01  
10   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01   1.9769415E+01  
