Iter  Part  GoF  Model_Output  
1  1   2.0638909E+01   2.0638909E+01  
1  2   2.0638909E+01   2.0638909E+01  
1  3   2.0638909E+01   2.0638909E+01  
1  4   2.0638909E+01   2.0638909E+01  
1  5   2.0638909E+01   2.0638909E+01  
1  6   2.0638909E+01   2.0638909E+01  
1  7   2.0638909E+01   2.0638909E+01  
1  8   2.0638909E+01   2.0638909E+01  
1  9   2.0638909E+01   2.0638909E+01  
1  10   2.0638909E+01   2.0638909E+01  
1  11   2.0638909E+01   2.0638909E+01  
1  12   2.0638909E+01   2.0638909E+01  
1  13   2.0638909E+01   2.0638909E+01  
1  14   2.0638909E+01   2.0638909E+01  
1  15   2.0638909E+01   2.0638909E+01  
1  16   2.0638909E+01   2.0638909E+01  
1  17   2.0638909E+01   2.0638909E+01  
1  18   2.0638909E+01   2.0638909E+01  
1  19   2.0638909E+01   2.0638909E+01  
1  20   2.0638909E+01   2.0638909E+01  
1  21   2.0638909E+01   2.0638909E+01  
1  22   2.0638909E+01   2.0638909E+01  
1  23   2.0638909E+01   2.0638909E+01  
1  24   2.0638909E+01   2.0638909E+01  
1  25   2.0638909E+01   2.0638909E+01  
1  26   2.0638909E+01   2.0638909E+01  
1  27   2.0638909E+01   2.0638909E+01  
1  28   2.0638909E+01   2.0638909E+01  
1  29   2.0638909E+01   2.0638909E+01  
1  30   2.0638909E+01   2.0638909E+01  
1  31   2.0638909E+01   2.0638909E+01  
1  32   2.0638909E+01   2.0638909E+01  
1  33   2.0638909E+01   2.0638909E+01  
1  34   2.0638909E+01   2.0638909E+01  
1  35   2.0638909E+01   2.0638909E+01  
1  36   2.0638909E+01   2.0638909E+01  
1  37   2.0638909E+01   2.0638909E+01  
1  38   2.0638909E+01   2.0638909E+01  
1  39   2.0638909E+01   2.0638909E+01  
1  40   2.0638909E+01   2.0638909E+01  
2  1   2.0394094E+01   2.0394094E+01  
2  2   2.0394094E+01   2.0394094E+01  
2  3   2.0394094E+01   2.0394094E+01  
2  4   2.0394094E+01   2.0394094E+01  
2  5   2.0394094E+01   2.0394094E+01  
2  6   2.0394094E+01   2.0394094E+01  
2  7   2.0394094E+01   2.0394094E+01  
2  8   2.0394094E+01   2.0394094E+01  
2  9   2.0394094E+01   2.0394094E+01  
2  10   2.0394094E+01   2.0394094E+01  
2  11   2.0394094E+01   2.0394094E+01  
2  12   2.0394094E+01   2.0394094E+01  
2  13   2.0394094E+01   2.0394094E+01  
2  14   2.0394094E+01   2.0394094E+01  
2  15   2.0394094E+01   2.0394094E+01  
2  16   2.0394094E+01   2.0394094E+01  
2  17   2.0394094E+01   2.0394094E+01  
2  18   2.0394094E+01   2.0394094E+01  
2  19   2.0394094E+01   2.0394094E+01  
2  20   2.0394094E+01   2.0394094E+01  
2  21   2.0394094E+01   2.0394094E+01  
2  22   2.0394094E+01   2.0394094E+01  
2  23   2.0394094E+01   2.0394094E+01  
2  24   2.0394094E+01   2.0394094E+01  
2  25   2.0394094E+01   2.0394094E+01  
2  26   2.0394094E+01   2.0394094E+01  
2  27   2.0394094E+01   2.0394094E+01  
2  28   2.0394094E+01   2.0394094E+01  
2  29   2.0394094E+01   2.0394094E+01  
2  30   2.0394094E+01   2.0394094E+01  
2  31   2.0394094E+01   2.0394094E+01  
2  32   2.0394094E+01   2.0394094E+01  
2  33   2.0394094E+01   2.0394094E+01  
2  34   2.0394094E+01   2.0394094E+01  
2  35   2.0394094E+01   2.0394094E+01  
2  36   2.0394094E+01   2.0394094E+01  
2  37   2.0394094E+01   2.0394094E+01  
2  38   2.0394094E+01   2.0394094E+01  
2  39   2.0394094E+01   2.0394094E+01  
2  40   2.0394094E+01   2.0394094E+01  
3  1   2.0959999E+01   2.0959999E+01  
3  2   2.0959999E+01   2.0959999E+01  
3  3   2.0959999E+01   2.0959999E+01  
3  4   2.0959999E+01   2.0959999E+01  
3  5   2.0959999E+01   2.0959999E+01  
3  6   2.0959999E+01   2.0959999E+01  
3  7   2.0959999E+01   2.0959999E+01  
3  8   2.0959999E+01   2.0959999E+01  
3  9   2.0959999E+01   2.0959999E+01  
3  10   2.0959999E+01   2.0959999E+01  
3  11   2.0959999E+01   2.0959999E+01  
3  12   2.0959999E+01   2.0959999E+01  
3  13   2.0959999E+01   2.0959999E+01  
3  14   2.0959999E+01   2.0959999E+01  
3  15   2.0959999E+01   2.0959999E+01  
3  16   2.0959999E+01   2.0959999E+01  
3  17   2.0959999E+01   2.0959999E+01  
3  18   2.0959999E+01   2.0959999E+01  
3  19   2.0959999E+01   2.0959999E+01  
3  20   2.0959999E+01   2.0959999E+01  
3  21   2.0959999E+01   2.0959999E+01  
3  22   2.0959999E+01   2.0959999E+01  
3  23   2.0959999E+01   2.0959999E+01  
3  24   2.0959999E+01   2.0959999E+01  
3  25   2.0959999E+01   2.0959999E+01  
3  26   2.0959999E+01   2.0959999E+01  
3  27   2.0959999E+01   2.0959999E+01  
3  28   2.0959999E+01   2.0959999E+01  
3  29   2.0959999E+01   2.0959999E+01  
3  30   2.0959999E+01   2.0959999E+01  
3  31   2.0959999E+01   2.0959999E+01  
3  32   2.0959999E+01   2.0959999E+01  
3  33   2.0959999E+01   2.0959999E+01  
3  34   2.0959999E+01   2.0959999E+01  
3  35   2.0959999E+01   2.0959999E+01  
3  36   2.0959999E+01   2.0959999E+01  
3  37   2.0959999E+01   2.0959999E+01  
3  38   2.0959999E+01   2.0959999E+01  
3  39   2.0959999E+01   2.0959999E+01  
3  40   2.0959999E+01   2.0959999E+01  
4  1   2.0662879E+01   2.0662879E+01  
4  2   2.0662879E+01   2.0662879E+01  
4  3   2.0662879E+01   2.0662879E+01  
4  4   2.0662879E+01   2.0662879E+01  
4  5   2.0662879E+01   2.0662879E+01  
4  6   2.0662879E+01   2.0662879E+01  
4  7   2.0662879E+01   2.0662879E+01  
4  8   2.0662879E+01   2.0662879E+01  
4  9   2.0662879E+01   2.0662879E+01  
4  10   2.0662879E+01   2.0662879E+01  
4  11   2.0662879E+01   2.0662879E+01  
4  12   2.0662879E+01   2.0662879E+01  
4  13   2.0662879E+01   2.0662879E+01  
4  14   2.0662879E+01   2.0662879E+01  
4  15   2.0662879E+01   2.0662879E+01  
4  16   2.0662879E+01   2.0662879E+01  
4  17   2.0662879E+01   2.0662879E+01  
4  18   2.0662879E+01   2.0662879E+01  
4  19   2.0662879E+01   2.0662879E+01  
4  20   2.0662879E+01   2.0662879E+01  
4  21   2.0662879E+01   2.0662879E+01  
4  22   2.0662879E+01   2.0662879E+01  
4  23   2.0662879E+01   2.0662879E+01  
4  24   2.0662879E+01   2.0662879E+01  
4  25   2.0662879E+01   2.0662879E+01  
4  26   2.0662879E+01   2.0662879E+01  
4  27   2.0662879E+01   2.0662879E+01  
4  28   2.0662879E+01   2.0662879E+01  
4  29   2.0662879E+01   2.0662879E+01  
4  30   2.0662879E+01   2.0662879E+01  
4  31   2.0662879E+01   2.0662879E+01  
4  32   2.0662879E+01   2.0662879E+01  
4  33   2.0662879E+01   2.0662879E+01  
4  34   2.0662879E+01   2.0662879E+01  
4  35   2.0662879E+01   2.0662879E+01  
4  36   2.0662879E+01   2.0662879E+01  
4  37   2.0662879E+01   2.0662879E+01  
4  38   2.0662879E+01   2.0662879E+01  
4  39   2.0662879E+01   2.0662879E+01  
4  40   2.0662879E+01   2.0662879E+01  
5  1   2.0423092E+01   2.0423092E+01  
5  2   2.0423092E+01   2.0423092E+01  
5  3   2.0423092E+01   2.0423092E+01  
5  4   2.0423092E+01   2.0423092E+01  
5  5   2.0423092E+01   2.0423092E+01  
5  6   2.0423092E+01   2.0423092E+01  
5  7   2.0423092E+01   2.0423092E+01  
5  8   2.0423092E+01   2.0423092E+01  
5  9   2.0423092E+01   2.0423092E+01  
5  10   2.0423092E+01   2.0423092E+01  
5  11   2.0423092E+01   2.0423092E+01  
5  12   2.0423092E+01   2.0423092E+01  
5  13   2.0423092E+01   2.0423092E+01  
5  14   2.0423092E+01   2.0423092E+01  
5  15   2.0423092E+01   2.0423092E+01  
5  16   2.0423092E+01   2.0423092E+01  
5  17   2.0423092E+01   2.0423092E+01  
5  18   2.0423092E+01   2.0423092E+01  
5  19   2.0423092E+01   2.0423092E+01  
5  20   2.0423092E+01   2.0423092E+01  
5  21   2.0423092E+01   2.0423092E+01  
5  22   2.0423092E+01   2.0423092E+01  
5  23   2.0423092E+01   2.0423092E+01  
5  24   2.0423092E+01   2.0423092E+01  
5  25   2.0423092E+01   2.0423092E+01  
5  26   2.0423092E+01   2.0423092E+01  
5  27   2.0423092E+01   2.0423092E+01  
5  28   2.0423092E+01   2.0423092E+01  
5  29   2.0423092E+01   2.0423092E+01  
5  30   2.0423092E+01   2.0423092E+01  
5  31   2.0423092E+01   2.0423092E+01  
5  32   2.0423092E+01   2.0423092E+01  
5  33   2.0423092E+01   2.0423092E+01  
5  34   2.0423092E+01   2.0423092E+01  
5  35   2.0423092E+01   2.0423092E+01  
5  36   2.0423092E+01   2.0423092E+01  
5  37   2.0423092E+01   2.0423092E+01  
5  38   2.0423092E+01   2.0423092E+01  
5  39   2.0423092E+01   2.0423092E+01  
5  40   2.0423092E+01   2.0423092E+01  
6  1   2.0457920E+01   2.0457920E+01  
6  2   2.0457920E+01   2.0457920E+01  
6  3   2.0457920E+01   2.0457920E+01  
6  4   2.0457920E+01   2.0457920E+01  
6  5   2.0457920E+01   2.0457920E+01  
6  6   2.0457920E+01   2.0457920E+01  
6  7   2.0457920E+01   2.0457920E+01  
6  8   2.0457920E+01   2.0457920E+01  
6  9   2.0457920E+01   2.0457920E+01  
6  10   2.0457920E+01   2.0457920E+01  
6  11   2.0457920E+01   2.0457920E+01  
6  12   2.0457920E+01   2.0457920E+01  
6  13   2.0457920E+01   2.0457920E+01  
6  14   2.0457920E+01   2.0457920E+01  
6  15   2.0457920E+01   2.0457920E+01  
6  16   2.0457920E+01   2.0457920E+01  
6  17   2.0457920E+01   2.0457920E+01  
6  18   2.0457920E+01   2.0457920E+01  
6  19   2.0457920E+01   2.0457920E+01  
6  20   2.0457920E+01   2.0457920E+01  
6  21   2.0457920E+01   2.0457920E+01  
6  22   2.0457920E+01   2.0457920E+01  
6  23   2.0457920E+01   2.0457920E+01  
6  24   2.0457920E+01   2.0457920E+01  
6  25   2.0457920E+01   2.0457920E+01  
6  26   2.0457920E+01   2.0457920E+01  
6  27   2.0457920E+01   2.0457920E+01  
6  28   2.0457920E+01   2.0457920E+01  
6  29   2.0457920E+01   2.0457920E+01  
6  30   2.0457920E+01   2.0457920E+01  
6  31   2.0457920E+01   2.0457920E+01  
6  32   2.0457920E+01   2.0457920E+01  
6  33   2.0457920E+01   2.0457920E+01  
6  34   2.0457920E+01   2.0457920E+01  
6  35   2.0457920E+01   2.0457920E+01  
6  36   2.0457920E+01   2.0457920E+01  
6  37   2.0457920E+01   2.0457920E+01  
6  38   2.0457920E+01   2.0457920E+01  
6  39   2.0457920E+01   2.0457920E+01  
6  40   2.0457920E+01   2.0457920E+01  
7  1   1.9961408E+01   1.9961408E+01  
7  2   1.9961408E+01   1.9961408E+01  
7  3   1.9961408E+01   1.9961408E+01  
7  4   1.9961408E+01   1.9961408E+01  
7  5   1.9961408E+01   1.9961408E+01  
7  6   1.9961408E+01   1.9961408E+01  
7  7   1.9961408E+01   1.9961408E+01  
7  8   1.9961408E+01   1.9961408E+01  
7  9   1.9961408E+01   1.9961408E+01  
7  10   1.9961408E+01   1.9961408E+01  
7  11   1.9961408E+01   1.9961408E+01  
7  12   1.9961408E+01   1.9961408E+01  
7  13   1.9961408E+01   1.9961408E+01  
7  14   1.9961408E+01   1.9961408E+01  
7  15   1.9961408E+01   1.9961408E+01  
7  16   1.9961408E+01   1.9961408E+01  
7  17   1.9961408E+01   1.9961408E+01  
7  18   1.9961408E+01   1.9961408E+01  
7  19   1.9961408E+01   1.9961408E+01  
7  20   1.9961408E+01   1.9961408E+01  
7  21   1.9961408E+01   1.9961408E+01  
7  22   1.9961408E+01   1.9961408E+01  
7  23   1.9961408E+01   1.9961408E+01  
7  24   1.9961408E+01   1.9961408E+01  
7  25   1.9961408E+01   1.9961408E+01  
7  26   1.9961408E+01   1.9961408E+01  
7  27   1.9961408E+01   1.9961408E+01  
7  28   1.9961408E+01   1.9961408E+01  
7  29   1.9961408E+01   1.9961408E+01  
7  30   1.9961408E+01   1.9961408E+01  
7  31   1.9961408E+01   1.9961408E+01  
7  32   1.9961408E+01   1.9961408E+01  
7  33   1.9961408E+01   1.9961408E+01  
7  34   1.9961408E+01   1.9961408E+01  
7  35   1.9961408E+01   1.9961408E+01  
7  36   1.9961408E+01   1.9961408E+01  
7  37   1.9961408E+01   1.9961408E+01  
7  38   1.9961408E+01   1.9961408E+01  
7  39   1.9961408E+01   1.9961408E+01  
7  40   1.9961408E+01   1.9961408E+01  
8  1   2.0591907E+01   2.0591907E+01  
8  2   2.0591907E+01   2.0591907E+01  
8  3   2.0591907E+01   2.0591907E+01  
8  4   2.0591907E+01   2.0591907E+01  
8  5   2.0591907E+01   2.0591907E+01  
8  6   2.0591907E+01   2.0591907E+01  
8  7   2.0591907E+01   2.0591907E+01  
8  8   2.0591907E+01   2.0591907E+01  
8  9   2.0591907E+01   2.0591907E+01  
8  10   2.0591907E+01   2.0591907E+01  
8  11   2.0591907E+01   2.0591907E+01  
8  12   2.0591907E+01   2.0591907E+01  
8  13   2.0591907E+01   2.0591907E+01  
8  14   2.0591907E+01   2.0591907E+01  
8  15   2.0591907E+01   2.0591907E+01  
8  16   2.0591907E+01   2.0591907E+01  
8  17   2.0591907E+01   2.0591907E+01  
8  18   2.0591907E+01   2.0591907E+01  
8  19   2.0591907E+01   2.0591907E+01  
8  20   2.0591907E+01   2.0591907E+01  
8  21   2.0591907E+01   2.0591907E+01  
8  22   2.0591907E+01   2.0591907E+01  
8  23   2.0591907E+01   2.0591907E+01  
8  24   2.0591907E+01   2.0591907E+01  
8  25   2.0591907E+01   2.0591907E+01  
8  26   2.0591907E+01   2.0591907E+01  
8  27   2.0591907E+01   2.0591907E+01  
8  28   2.0591907E+01   2.0591907E+01  
8  29   2.0591907E+01   2.0591907E+01  
8  30   2.0591907E+01   2.0591907E+01  
8  31   2.0591907E+01   2.0591907E+01  
8  32   2.0591907E+01   2.0591907E+01  
8  33   2.0591907E+01   2.0591907E+01  
8  34   2.0591907E+01   2.0591907E+01  
8  35   2.0591907E+01   2.0591907E+01  
8  36   2.0591907E+01   2.0591907E+01  
8  37   2.0591907E+01   2.0591907E+01  
8  38   2.0591907E+01   2.0591907E+01  
8  39   2.0591907E+01   2.0591907E+01  
8  40   2.0591907E+01   2.0591907E+01  
9  1   1.9769415E+01   1.9769415E+01  
9  2   1.9769415E+01   1.9769415E+01  
9  3   1.9769415E+01   1.9769415E+01  
9  4   1.9769415E+01   1.9769415E+01  
9  5   1.9769415E+01   1.9769415E+01  
9  6   1.9769415E+01   1.9769415E+01  
9  7   1.9769415E+01   1.9769415E+01  
9  8   1.9769415E+01   1.9769415E+01  
9  9   1.9769415E+01   1.9769415E+01  
9  10   1.9769415E+01   1.9769415E+01  
9  11   1.9769415E+01   1.9769415E+01  
9  12   1.9769415E+01   1.9769415E+01  
9  13   1.9769415E+01   1.9769415E+01  
9  14   1.9769415E+01   1.9769415E+01  
9  15   1.9769415E+01   1.9769415E+01  
9  16   1.9769415E+01   1.9769415E+01  
9  17   1.9769415E+01   1.9769415E+01  
9  18   1.9769415E+01   1.9769415E+01  
9  19   1.9769415E+01   1.9769415E+01  
9  20   1.9769415E+01   1.9769415E+01  
9  21   1.9769415E+01   1.9769415E+01  
9  22   1.9769415E+01   1.9769415E+01  
9  23   1.9769415E+01   1.9769415E+01  
9  24   1.9769415E+01   1.9769415E+01  
9  25   1.9769415E+01   1.9769415E+01  
9  26   1.9769415E+01   1.9769415E+01  
9  27   1.9769415E+01   1.9769415E+01  
9  28   1.9769415E+01   1.9769415E+01  
9  29   1.9769415E+01   1.9769415E+01  
9  30   1.9769415E+01   1.9769415E+01  
9  31   1.9769415E+01   1.9769415E+01  
9  32   1.9769415E+01   1.9769415E+01  
9  33   1.9769415E+01   1.9769415E+01  
9  34   1.9769415E+01   1.9769415E+01  
9  35   1.9769415E+01   1.9769415E+01  
9  36   1.9769415E+01   1.9769415E+01  
9  37   1.9769415E+01   1.9769415E+01  
9  38   1.9769415E+01   1.9769415E+01  
9  39   1.9769415E+01   1.9769415E+01  
9  40   1.9769415E+01   1.9769415E+01  
10  1   2.0119604E+01   2.0119604E+01  
10  2   2.0119604E+01   2.0119604E+01  
10  3   2.0119604E+01   2.0119604E+01  
10  4   2.0119604E+01   2.0119604E+01  
10  5   2.0119604E+01   2.0119604E+01  
10  6   2.0119604E+01   2.0119604E+01  
10  7   2.0119604E+01   2.0119604E+01  
10  8   2.0119604E+01   2.0119604E+01  
10  9   2.0119604E+01   2.0119604E+01  
10  10   2.0119604E+01   2.0119604E+01  
10  11   2.0119604E+01   2.0119604E+01  
10  12   2.0119604E+01   2.0119604E+01  
10  13   2.0119604E+01   2.0119604E+01  
10  14   2.0119604E+01   2.0119604E+01  
10  15   2.0119604E+01   2.0119604E+01  
10  16   2.0119604E+01   2.0119604E+01  
10  17   2.0119604E+01   2.0119604E+01  
10  18   2.0119604E+01   2.0119604E+01  
10  19   2.0119604E+01   2.0119604E+01  
10  20   2.0119604E+01   2.0119604E+01  
10  21   2.0119604E+01   2.0119604E+01  
10  22   2.0119604E+01   2.0119604E+01  
10  23   2.0119604E+01   2.0119604E+01  
10  24   2.0119604E+01   2.0119604E+01  
10  25   2.0119604E+01   2.0119604E+01  
10  26   2.0119604E+01   2.0119604E+01  
10  27   2.0119604E+01   2.0119604E+01  
10  28   2.0119604E+01   2.0119604E+01  
10  29   2.0119604E+01   2.0119604E+01  
10  30   2.0119604E+01   2.0119604E+01  
10  31   2.0119604E+01   2.0119604E+01  
10  32   2.0119604E+01   2.0119604E+01  
10  33   2.0119604E+01   2.0119604E+01  
10  34   2.0119604E+01   2.0119604E+01  
10  35   2.0119604E+01   2.0119604E+01  
10  36   2.0119604E+01   2.0119604E+01  
10  37   2.0119604E+01   2.0119604E+01  
10  38   2.0119604E+01   2.0119604E+01  
10  39   2.0119604E+01   2.0119604E+01  
10  40   2.0119604E+01   2.0119604E+01  
11  1   1.9662380E+01   1.9662380E+01  
11  2   1.9662380E+01   1.9662380E+01  
11  3   1.9662380E+01   1.9662380E+01  
11  4   1.9662380E+01   1.9662380E+01  
11  5   1.9662380E+01   1.9662380E+01  
11  6   1.9662380E+01   1.9662380E+01  
11  7   1.9662380E+01   1.9662380E+01  
11  8   1.9662380E+01   1.9662380E+01  
11  9   1.9662380E+01   1.9662380E+01  
11  10   1.9662380E+01   1.9662380E+01  
11  11   1.9662380E+01   1.9662380E+01  
11  12   1.9662380E+01   1.9662380E+01  
11  13   1.9662380E+01   1.9662380E+01  
11  14   1.9662380E+01   1.9662380E+01  
11  15   1.9662380E+01   1.9662380E+01  
11  16   1.9662380E+01   1.9662380E+01  
11  17   1.9662380E+01   1.9662380E+01  
11  18   1.9662380E+01   1.9662380E+01  
11  19   1.9662380E+01   1.9662380E+01  
11  20   1.9662380E+01   1.9662380E+01  
11  21   1.9662380E+01   1.9662380E+01  
11  22   1.9662380E+01   1.9662380E+01  
11  23   1.9662380E+01   1.9662380E+01  
11  24   1.9662380E+01   1.9662380E+01  
11  25   1.9662380E+01   1.9662380E+01  
11  26   1.9662380E+01   1.9662380E+01  
11  27   1.9662380E+01   1.9662380E+01  
11  28   1.9662380E+01   1.9662380E+01  
11  29   1.9662380E+01   1.9662380E+01  
11  30   1.9662380E+01   1.9662380E+01  
11  31   1.9662380E+01   1.9662380E+01  
11  32   1.9662380E+01   1.9662380E+01  
11  33   1.9662380E+01   1.9662380E+01  
11  34   1.9662380E+01   1.9662380E+01  
11  35   1.9662380E+01   1.9662380E+01  
11  36   1.9662380E+01   1.9662380E+01  
11  37   1.9662380E+01   1.9662380E+01  
11  38   1.9662380E+01   1.9662380E+01  
11  39   1.9662380E+01   1.9662380E+01  
11  40   1.9662380E+01   1.9662380E+01  
12  1   2.0076763E+01   2.0076763E+01  
12  2   2.0076763E+01   2.0076763E+01  
12  3   2.0076763E+01   2.0076763E+01  
12  4   2.0076763E+01   2.0076763E+01  
12  5   2.0076763E+01   2.0076763E+01  
12  6   2.0076763E+01   2.0076763E+01  
12  7   2.0076763E+01   2.0076763E+01  
12  8   2.0076763E+01   2.0076763E+01  
12  9   2.0076763E+01   2.0076763E+01  
12  10   2.0076763E+01   2.0076763E+01  
12  11   2.0076763E+01   2.0076763E+01  
12  12   2.0076763E+01   2.0076763E+01  
12  13   2.0076763E+01   2.0076763E+01  
